,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-199.12977961395137,MASK_AGENT_pro,6237,4000,-199.12977961395137
1,24000,-185.24293702024426,MASK_AGENT_pro,6237,24000,-185.24293702024426
2,44000,-190.9783855307855,MASK_AGENT_pro,6237,44000,-190.9783855307855
3,64000,-172.5952535416863,MASK_AGENT_pro,6237,64000,-172.5952535416863
4,84000,-171.9531411905119,MASK_AGENT_pro,6237,84000,-171.9531411905119
5,104000,-155.59529464330427,MASK_AGENT_pro,6237,104000,-155.59529464330427
6,124000,-145.12282259372546,MASK_AGENT_pro,6237,124000,-145.12282259372546
7,144000,-143.36900006273578,MASK_AGENT_pro,6237,144000,-143.36900006273578
8,164000,-156.45981620044216,MASK_AGENT_pro,6237,164000,-156.45981620044216
9,184000,-149.60336048822916,MASK_AGENT_pro,6237,184000,-149.60336048822916
10,204000,-150.98191895997178,MASK_AGENT_pro,6237,204000,-150.98191895997178
11,224000,-149.951381991571,MASK_AGENT_pro,6237,224000,-149.951381991571
12,244000,-152.66133653799787,MASK_AGENT_pro,6237,244000,-152.66133653799787
13,264000,-147.96937618240102,MASK_AGENT_pro,6237,264000,-147.96937618240102
14,284000,-134.43754750322734,MASK_AGENT_pro,6237,284000,-134.43754750322734
15,304000,-112.75326197385968,MASK_AGENT_pro,6237,304000,-112.75326197385968
16,324000,-107.97221971756196,MASK_AGENT_pro,6237,324000,-107.97221971756196
17,344000,-101.06245248907418,MASK_AGENT_pro,6237,344000,-101.06245248907418
18,364000,-92.03533321193962,MASK_AGENT_pro,6237,364000,-92.03533321193962
19,384000,-84.97506790674156,MASK_AGENT_pro,6237,384000,-84.97506790674156
20,404000,-79.55648084944201,MASK_AGENT_pro,6237,404000,-79.55648084944201
21,424000,-76.55079556205216,MASK_AGENT_pro,6237,424000,-76.55079556205216
22,444000,-76.1142113110374,MASK_AGENT_pro,6237,444000,-76.1142113110374
23,464000,-80.66144493580155,MASK_AGENT_pro,6237,464000,-80.66144493580155
24,484000,-85.62631417807212,MASK_AGENT_pro,6237,484000,-85.62631417807212
25,504000,-91.8939712841309,MASK_AGENT_pro,6237,504000,-91.8939712841309
26,524000,-88.12259079753309,MASK_AGENT_pro,6237,524000,-88.12259079753309
27,544000,-92.73199619295272,MASK_AGENT_pro,6237,544000,-92.73199619295272
28,564000,-97.9470927411404,MASK_AGENT_pro,6237,564000,-97.9470927411404
29,584000,-106.728263742858,MASK_AGENT_pro,6237,584000,-106.728263742858
30,604000,-113.88385492404738,MASK_AGENT_pro,6237,604000,-113.88385492404738
31,624000,-116.54407547885849,MASK_AGENT_pro,6237,624000,-116.54407547885849
32,644000,-118.91215237827673,MASK_AGENT_pro,6237,644000,-118.91215237827673
33,664000,-124.40992112474945,MASK_AGENT_pro,6237,664000,-124.40992112474945
34,684000,-125.61092850013192,MASK_AGENT_pro,6237,684000,-125.61092850013192
35,704000,-129.55973951950483,MASK_AGENT_pro,6237,704000,-129.55973951950483
36,724000,-131.9051792798005,MASK_AGENT_pro,6237,724000,-131.9051792798005
37,744000,-131.60398433505495,MASK_AGENT_pro,6237,744000,-131.60398433505495
38,764000,-128.68444186225835,MASK_AGENT_pro,6237,764000,-128.68444186225835
39,784000,-136.41667795185748,MASK_AGENT_pro,6237,784000,-136.41667795185748
40,804000,-135.499949263834,MASK_AGENT_pro,6237,804000,-135.499949263834
41,824000,-136.54077107859874,MASK_AGENT_pro,6237,824000,-136.54077107859874
42,844000,-131.94347073603234,MASK_AGENT_pro,6237,844000,-131.94347073603234
43,864000,-127.13880678537649,MASK_AGENT_pro,6237,864000,-127.13880678537649
44,884000,-129.69493364253194,MASK_AGENT_pro,6237,884000,-129.69493364253194
45,904000,-126.56853059706353,MASK_AGENT_pro,6237,904000,-126.56853059706353
46,924000,-131.94373264279483,MASK_AGENT_pro,6237,924000,-131.94373264279483
47,944000,-128.27968039145316,MASK_AGENT_pro,6237,944000,-128.27968039145316
48,964000,-123.06435436363572,MASK_AGENT_pro,6237,964000,-123.06435436363572
49,984000,-125.7541613613242,MASK_AGENT_pro,6237,984000,-125.7541613613242
50,1004000,-122.87231882779903,MASK_AGENT_pro,6237,1004000,-122.87231882779903
51,1024000,-103.50055826587581,MASK_AGENT_pro,6237,1024000,-103.50055826587581
52,1044000,-100.84107818348289,MASK_AGENT_pro,6237,1044000,-100.84107818348289
53,1064000,-98.51127380100942,MASK_AGENT_pro,6237,1064000,-98.51127380100942
54,1084000,-97.29024165208533,MASK_AGENT_pro,6237,1084000,-97.29024165208533
55,1104000,-89.9768895191544,MASK_AGENT_pro,6237,1104000,-89.9768895191544
56,1124000,-79.51932566881871,MASK_AGENT_pro,6237,1124000,-79.51932566881871
57,1144000,-79.23224934524232,MASK_AGENT_pro,6237,1144000,-79.23224934524232
58,1164000,-84.05954398514447,MASK_AGENT_pro,6237,1164000,-84.05954398514447
59,1184000,-93.52439045787978,MASK_AGENT_pro,6237,1184000,-93.52439045787978
60,1204000,-93.17968893772976,MASK_AGENT_pro,6237,1204000,-93.17968893772976
61,1224000,-94.8614574980993,MASK_AGENT_pro,6237,1224000,-94.8614574980993
62,1244000,-90.05472310131331,MASK_AGENT_pro,6237,1244000,-90.05472310131331
63,1264000,-86.6604202748911,MASK_AGENT_pro,6237,1264000,-86.6604202748911
64,1284000,-83.0113301840986,MASK_AGENT_pro,6237,1284000,-83.0113301840986
65,1304000,-86.32125614747835,MASK_AGENT_pro,6237,1304000,-86.32125614747835
66,1324000,-82.34460068409689,MASK_AGENT_pro,6237,1324000,-82.34460068409689
67,1344000,-85.79879992999223,MASK_AGENT_pro,6237,1344000,-85.79879992999223
68,1364000,-88.13427600143083,MASK_AGENT_pro,6237,1364000,-88.13427600143083
69,1384000,-88.62535776773953,MASK_AGENT_pro,6237,1384000,-88.62535776773953
70,1404000,-85.9786404317184,MASK_AGENT_pro,6237,1404000,-85.9786404317184
71,1424000,-88.9476405083785,MASK_AGENT_pro,6237,1424000,-88.9476405083785
72,1444000,-90.71244159742322,MASK_AGENT_pro,6237,1444000,-90.71244159742322
73,1464000,-93.5857244149719,MASK_AGENT_pro,6237,1464000,-93.5857244149719
74,1484000,-98.2750332024416,MASK_AGENT_pro,6237,1484000,-98.2750332024416
75,1504000,-100.27943419115408,MASK_AGENT_pro,6237,1504000,-100.27943419115408
76,1524000,-99.06900781651083,MASK_AGENT_pro,6237,1524000,-99.06900781651083
77,1544000,-94.92283494155694,MASK_AGENT_pro,6237,1544000,-94.92283494155694
