,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-183.00852094941075,MASK_AGENT_pro,9100,4000,-183.00852094941075
1,24000,-186.79230824959433,MASK_AGENT_pro,9100,24000,-186.79230824959433
2,44000,-177.78686930730174,MASK_AGENT_pro,9100,44000,-177.78686930730174
3,64000,-177.86104948494764,MASK_AGENT_pro,9100,64000,-177.86104948494764
4,84000,-165.78191338937353,MASK_AGENT_pro,9100,84000,-165.78191338937353
5,104000,-157.8967969283717,MASK_AGENT_pro,9100,104000,-157.8967969283717
6,124000,-154.90315957050467,MASK_AGENT_pro,9100,124000,-154.90315957050467
7,144000,-148.23415904800638,MASK_AGENT_pro,9100,144000,-148.23415904800638
8,164000,-144.67945238155588,MASK_AGENT_pro,9100,164000,-144.67945238155588
9,184000,-137.49053102164748,MASK_AGENT_pro,9100,184000,-137.49053102164748
10,204000,-127.68277113869802,MASK_AGENT_pro,9100,204000,-127.68277113869802
11,224000,-125.69033347566942,MASK_AGENT_pro,9100,224000,-125.69033347566942
12,244000,-120.40571108999409,MASK_AGENT_pro,9100,244000,-120.40571108999409
13,264000,-113.30546958915934,MASK_AGENT_pro,9100,264000,-113.30546958915934
14,284000,-98.81206259069553,MASK_AGENT_pro,9100,284000,-98.81206259069553
15,304000,-84.38590426784421,MASK_AGENT_pro,9100,304000,-84.38590426784421
16,324000,-79.21313694805806,MASK_AGENT_pro,9100,324000,-79.21313694805806
17,344000,-79.75273892639396,MASK_AGENT_pro,9100,344000,-79.75273892639396
18,364000,-79.30350804682476,MASK_AGENT_pro,9100,364000,-79.30350804682476
19,384000,-73.38308353317458,MASK_AGENT_pro,9100,384000,-73.38308353317458
20,404000,-71.66326152313545,MASK_AGENT_pro,9100,404000,-71.66326152313545
21,424000,-69.35407156438086,MASK_AGENT_pro,9100,424000,-69.35407156438086
22,444000,-70.20036523643748,MASK_AGENT_pro,9100,444000,-70.20036523643748
23,464000,-68.37215019274086,MASK_AGENT_pro,9100,464000,-68.37215019274086
24,484000,-65.2689114755876,MASK_AGENT_pro,9100,484000,-65.2689114755876
25,504000,-63.71179361725292,MASK_AGENT_pro,9100,504000,-63.71179361725292
26,524000,-65.67283230282797,MASK_AGENT_pro,9100,524000,-65.67283230282797
27,544000,-66.88987763068624,MASK_AGENT_pro,9100,544000,-66.88987763068624
28,564000,-65.37780363573118,MASK_AGENT_pro,9100,564000,-65.37780363573118
29,584000,-62.01674146900816,MASK_AGENT_pro,9100,584000,-62.01674146900816
30,604000,-65.06793540286893,MASK_AGENT_pro,9100,604000,-65.06793540286893
31,624000,-69.86994723509812,MASK_AGENT_pro,9100,624000,-69.86994723509812
32,644000,-71.75346392605718,MASK_AGENT_pro,9100,644000,-71.75346392605718
33,664000,-71.14545842904081,MASK_AGENT_pro,9100,664000,-71.14545842904081
34,684000,-71.27811074407217,MASK_AGENT_pro,9100,684000,-71.27811074407217
35,704000,-77.65503905967275,MASK_AGENT_pro,9100,704000,-77.65503905967275
36,724000,-78.57030403127816,MASK_AGENT_pro,9100,724000,-78.57030403127816
37,744000,-76.00359204216377,MASK_AGENT_pro,9100,744000,-76.00359204216377
38,764000,-79.46214271997509,MASK_AGENT_pro,9100,764000,-79.46214271997509
39,784000,-74.15200220829117,MASK_AGENT_pro,9100,784000,-74.15200220829117
40,804000,-76.70827197269116,MASK_AGENT_pro,9100,804000,-76.70827197269116
41,824000,-83.4098465475714,MASK_AGENT_pro,9100,824000,-83.4098465475714
42,844000,-77.81613121173987,MASK_AGENT_pro,9100,844000,-77.81613121173987
43,864000,-73.08486863253856,MASK_AGENT_pro,9100,864000,-73.08486863253856
44,884000,-66.83503484991014,MASK_AGENT_pro,9100,884000,-66.83503484991014
45,904000,-70.75217840242297,MASK_AGENT_pro,9100,904000,-70.75217840242297
46,924000,-72.4401749700726,MASK_AGENT_pro,9100,924000,-72.4401749700726
47,944000,-67.00715868927702,MASK_AGENT_pro,9100,944000,-67.00715868927702
48,964000,-64.07990357152713,MASK_AGENT_pro,9100,964000,-64.07990357152713
49,984000,-64.31394955421788,MASK_AGENT_pro,9100,984000,-64.31394955421788
50,1004000,-60.50882837978613,MASK_AGENT_pro,9100,1004000,-60.50882837978613
51,1024000,-62.232552195099245,MASK_AGENT_pro,9100,1024000,-62.232552195099245
52,1044000,-61.40350810031721,MASK_AGENT_pro,9100,1044000,-61.40350810031721
53,1064000,-59.98766243000099,MASK_AGENT_pro,9100,1064000,-59.98766243000099
54,1084000,-57.380813802000276,MASK_AGENT_pro,9100,1084000,-57.380813802000276
55,1104000,-56.06922252478015,MASK_AGENT_pro,9100,1104000,-56.06922252478015
56,1124000,-55.660179548608106,MASK_AGENT_pro,9100,1124000,-55.660179548608106
57,1144000,-61.42087931769796,MASK_AGENT_pro,9100,1144000,-61.42087931769796
58,1164000,-64.27930025270575,MASK_AGENT_pro,9100,1164000,-64.27930025270575
