,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-196.60732436878567,MASK_AGENT_pro,7767,4000,-196.60732436878567
1,24000,-185.40029958103355,MASK_AGENT_pro,7767,24000,-185.40029958103355
2,44000,-185.12543158022137,MASK_AGENT_pro,7767,44000,-185.12543158022137
3,64000,-194.71575326000314,MASK_AGENT_pro,7767,64000,-194.71575326000314
4,84000,-173.26304682281852,MASK_AGENT_pro,7767,84000,-173.26304682281852
5,104000,-169.0672207726695,MASK_AGENT_pro,7767,104000,-169.0672207726695
6,124000,-161.88211311929632,MASK_AGENT_pro,7767,124000,-161.88211311929632
7,144000,-162.87600154642155,MASK_AGENT_pro,7767,144000,-162.87600154642155
8,164000,-153.87983581845268,MASK_AGENT_pro,7767,164000,-153.87983581845268
9,184000,-152.28763886526207,MASK_AGENT_pro,7767,184000,-152.28763886526207
10,204000,-159.81390860126675,MASK_AGENT_pro,7767,204000,-159.81390860126675
11,224000,-160.16500991310278,MASK_AGENT_pro,7767,224000,-160.16500991310278
12,244000,-190.49250403720143,MASK_AGENT_pro,7767,244000,-190.49250403720143
13,264000,-187.75034384620386,MASK_AGENT_pro,7767,264000,-187.75034384620386
14,284000,-167.44891591431025,MASK_AGENT_pro,7767,284000,-167.44891591431025
15,304000,-141.05697974860507,MASK_AGENT_pro,7767,304000,-141.05697974860507
16,324000,-117.4287442140233,MASK_AGENT_pro,7767,324000,-117.4287442140233
17,344000,-112.09258785115773,MASK_AGENT_pro,7767,344000,-112.09258785115773
18,364000,-101.72973280570673,MASK_AGENT_pro,7767,364000,-101.72973280570673
19,384000,-99.95901852757116,MASK_AGENT_pro,7767,384000,-99.95901852757116
20,404000,-99.46203762372602,MASK_AGENT_pro,7767,404000,-99.46203762372602
21,424000,-93.85318811033194,MASK_AGENT_pro,7767,424000,-93.85318811033194
22,444000,-87.31323685474912,MASK_AGENT_pro,7767,444000,-87.31323685474912
23,464000,-81.8044640823756,MASK_AGENT_pro,7767,464000,-81.8044640823756
24,484000,-77.04623455532632,MASK_AGENT_pro,7767,484000,-77.04623455532632
25,504000,-75.14104631951454,MASK_AGENT_pro,7767,504000,-75.14104631951454
26,524000,-72.44981833878919,MASK_AGENT_pro,7767,524000,-72.44981833878919
27,544000,-70.57265589538916,MASK_AGENT_pro,7767,544000,-70.57265589538916
28,564000,-69.09927068079266,MASK_AGENT_pro,7767,564000,-69.09927068079266
29,584000,-67.2405579577057,MASK_AGENT_pro,7767,584000,-67.2405579577057
30,604000,-67.89681263800266,MASK_AGENT_pro,7767,604000,-67.89681263800266
31,624000,-67.65563878401369,MASK_AGENT_pro,7767,624000,-67.65563878401369
32,644000,-66.99680987949658,MASK_AGENT_pro,7767,644000,-66.99680987949658
33,664000,-67.6365889777696,MASK_AGENT_pro,7767,664000,-67.6365889777696
34,684000,-68.07017487762857,MASK_AGENT_pro,7767,684000,-68.07017487762857
35,704000,-66.98175987395823,MASK_AGENT_pro,7767,704000,-66.98175987395823
36,724000,-67.48148701830226,MASK_AGENT_pro,7767,724000,-67.48148701830226
37,744000,-65.59081139865147,MASK_AGENT_pro,7767,744000,-65.59081139865147
38,764000,-67.98190259673684,MASK_AGENT_pro,7767,764000,-67.98190259673684
39,784000,-67.25340734511147,MASK_AGENT_pro,7767,784000,-67.25340734511147
40,804000,-68.02327782120553,MASK_AGENT_pro,7767,804000,-68.02327782120553
41,824000,-69.51639108749848,MASK_AGENT_pro,7767,824000,-69.51639108749848
42,844000,-72.45189703211625,MASK_AGENT_pro,7767,844000,-72.45189703211625
43,864000,-78.92325804691765,MASK_AGENT_pro,7767,864000,-78.92325804691765
44,884000,-78.64284470239144,MASK_AGENT_pro,7767,884000,-78.64284470239144
45,904000,-77.74930482331271,MASK_AGENT_pro,7767,904000,-77.74930482331271
46,924000,-81.75021441956129,MASK_AGENT_pro,7767,924000,-81.75021441956129
47,944000,-83.34711563908317,MASK_AGENT_pro,7767,944000,-83.34711563908317
48,964000,-76.41356864279257,MASK_AGENT_pro,7767,964000,-76.41356864279257
49,984000,-72.82068605901928,MASK_AGENT_pro,7767,984000,-72.82068605901928
50,1004000,-75.02568264405673,MASK_AGENT_pro,7767,1004000,-75.02568264405673
51,1024000,-71.61445249867708,MASK_AGENT_pro,7767,1024000,-71.61445249867708
52,1044000,-69.5697001999109,MASK_AGENT_pro,7767,1044000,-69.5697001999109
53,1064000,-67.64166654335779,MASK_AGENT_pro,7767,1064000,-67.64166654335779
54,1084000,-65.17625254624025,MASK_AGENT_pro,7767,1084000,-65.17625254624025
55,1104000,-62.91763164384397,MASK_AGENT_pro,7767,1104000,-62.91763164384397
56,1124000,-60.13764309860782,MASK_AGENT_pro,7767,1124000,-60.13764309860782
57,1144000,-58.50441487307402,MASK_AGENT_pro,7767,1144000,-58.50441487307402
58,1164000,-56.879593136197215,MASK_AGENT_pro,7767,1164000,-56.879593136197215
59,1184000,-53.815134511189925,MASK_AGENT_pro,7767,1184000,-53.815134511189925
60,1204000,-55.40386738801233,MASK_AGENT_pro,7767,1204000,-55.40386738801233
61,1224000,-53.70837067859992,MASK_AGENT_pro,7767,1224000,-53.70837067859992
62,1244000,-59.20728277488145,MASK_AGENT_pro,7767,1244000,-59.20728277488145
63,1264000,-65.09897987954501,MASK_AGENT_pro,7767,1264000,-65.09897987954501
64,1284000,-66.05266911294565,MASK_AGENT_pro,7767,1284000,-66.05266911294565
65,1304000,-62.619650862736634,MASK_AGENT_pro,7767,1304000,-62.619650862736634
66,1324000,-60.676421016051606,MASK_AGENT_pro,7767,1324000,-60.676421016051606
67,1344000,-59.73330134452541,MASK_AGENT_pro,7767,1344000,-59.73330134452541
68,1364000,-65.12342595698308,MASK_AGENT_pro,7767,1364000,-65.12342595698308
69,1384000,-70.03913741026554,MASK_AGENT_pro,7767,1384000,-70.03913741026554
70,1404000,-69.06049636538191,MASK_AGENT_pro,7767,1404000,-69.06049636538191
71,1424000,-82.39859885995156,MASK_AGENT_pro,7767,1424000,-82.39859885995156
72,1444000,-87.14417823022487,MASK_AGENT_pro,7767,1444000,-87.14417823022487
73,1464000,-87.42859805772483,MASK_AGENT_pro,7767,1464000,-87.42859805772483
74,1484000,-80.16891551288982,MASK_AGENT_pro,7767,1484000,-80.16891551288982
75,1504000,-75.65239359982029,MASK_AGENT_pro,7767,1504000,-75.65239359982029
76,1524000,-74.44922923910653,MASK_AGENT_pro,7767,1524000,-74.44922923910653
77,1544000,-73.03568494100526,MASK_AGENT_pro,7767,1544000,-73.03568494100526
78,1564000,-71.30927288085623,MASK_AGENT_pro,7767,1564000,-71.30927288085623
79,1584000,-65.91689298553561,MASK_AGENT_pro,7767,1584000,-65.91689298553561
80,1604000,-66.5313502576375,MASK_AGENT_pro,7767,1604000,-66.5313502576375
81,1624000,-66.00913899783895,MASK_AGENT_pro,7767,1624000,-66.00913899783895
82,1644000,-67.68329154720479,MASK_AGENT_pro,7767,1644000,-67.68329154720479
83,1664000,-73.16798394003615,MASK_AGENT_pro,7767,1664000,-73.16798394003615
84,1684000,-75.02106531513598,MASK_AGENT_pro,7767,1684000,-75.02106531513598
85,1704000,-65.46170238130074,MASK_AGENT_pro,7767,1704000,-65.46170238130074
86,1724000,-63.63261379719726,MASK_AGENT_pro,7767,1724000,-63.63261379719726
87,1744000,-62.32647580606018,MASK_AGENT_pro,7767,1744000,-62.32647580606018
88,1764000,-58.53468359475191,MASK_AGENT_pro,7767,1764000,-58.53468359475191
89,1784000,-54.16574242996573,MASK_AGENT_pro,7767,1784000,-54.16574242996573
90,1804000,-48.89883437388369,MASK_AGENT_pro,7767,1804000,-48.89883437388369
