,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-182.71648147107095,MAT,1367,4000,-182.71648147107095
1,24000,-171.5989023464627,MAT,1367,24000,-171.5989023464627
2,44000,-167.07118640167556,MAT,1367,44000,-167.07118640167556
3,64000,-162.37489702602807,MAT,1367,64000,-162.37489702602807
4,84000,-151.38626397235683,MAT,1367,84000,-151.38626397235683
5,104000,-155.25351515164587,MAT,1367,104000,-155.25351515164587
6,124000,-146.56114367122024,MAT,1367,124000,-146.56114367122024
7,144000,-149.00938425838004,MAT,1367,144000,-149.00938425838004
8,164000,-141.34495769211563,MAT,1367,164000,-141.34495769211563
9,184000,-133.13727973382896,MAT,1367,184000,-133.13727973382896
10,204000,-122.0260670075406,MAT,1367,204000,-122.0260670075406
11,224000,-116.90506266168886,MAT,1367,224000,-116.90506266168886
12,244000,-105.51859108155693,MAT,1367,244000,-105.51859108155693
13,264000,-96.018560872086,MAT,1367,264000,-96.018560872086
14,284000,-90.69853968133303,MAT,1367,284000,-90.69853968133303
15,304000,-85.84665830006055,MAT,1367,304000,-85.84665830006055
16,324000,-82.37369338994363,MAT,1367,324000,-82.37369338994363
17,344000,-78.07744520395133,MAT,1367,344000,-78.07744520395133
18,364000,-76.09247414321831,MAT,1367,364000,-76.09247414321831
19,384000,-73.42324294771944,MAT,1367,384000,-73.42324294771944
20,404000,-72.88628910627074,MAT,1367,404000,-72.88628910627074
21,424000,-74.26088068295145,MAT,1367,424000,-74.26088068295145
22,444000,-75.76030652146652,MAT,1367,444000,-75.76030652146652
23,464000,-79.37249852911235,MAT,1367,464000,-79.37249852911235
24,484000,-76.54352555754375,MAT,1367,484000,-76.54352555754375
25,504000,-76.2036220473209,MAT,1367,504000,-76.2036220473209
26,524000,-76.93943592039567,MAT,1367,524000,-76.93943592039567
27,544000,-77.21344516916635,MAT,1367,544000,-77.21344516916635
28,564000,-76.47747880979874,MAT,1367,564000,-76.47747880979874
29,584000,-77.80473442281894,MAT,1367,584000,-77.80473442281894
30,604000,-79.755332150776,MAT,1367,604000,-79.755332150776
31,624000,-81.11968054549914,MAT,1367,624000,-81.11968054549914
32,644000,-83.5694723592471,MAT,1367,644000,-83.5694723592471
33,664000,-87.12594260493049,MAT,1367,664000,-87.12594260493049
34,684000,-88.66028230563711,MAT,1367,684000,-88.66028230563711
35,704000,-92.5275337343811,MAT,1367,704000,-92.5275337343811
36,724000,-95.130408477958,MAT,1367,724000,-95.130408477958
37,744000,-92.46398962474271,MAT,1367,744000,-92.46398962474271
38,764000,-91.65881044817641,MAT,1367,764000,-91.65881044817641
39,784000,-88.39617087961105,MAT,1367,784000,-88.39617087961105
40,804000,-89.44524581064469,MAT,1367,804000,-89.44524581064469
41,824000,-85.66917711129648,MAT,1367,824000,-85.66917711129648
42,844000,-88.65990744523221,MAT,1367,844000,-88.65990744523221
43,864000,-85.69757588697522,MAT,1367,864000,-85.69757588697522
44,884000,-85.7932535980457,MAT,1367,884000,-85.7932535980457
45,904000,-82.03486333762876,MAT,1367,904000,-82.03486333762876
46,924000,-85.75741633037782,MAT,1367,924000,-85.75741633037782
47,944000,-80.42366796039815,MAT,1367,944000,-80.42366796039815
48,964000,-73.66162861288407,MAT,1367,964000,-73.66162861288407
49,984000,-72.67372759507109,MAT,1367,984000,-72.67372759507109
50,1004000,-68.91093293918382,MAT,1367,1004000,-68.91093293918382
51,1024000,-64.7370847203409,MAT,1367,1024000,-64.7370847203409
52,1044000,-64.39799909057226,MAT,1367,1044000,-64.39799909057226
53,1064000,-58.52764033702452,MAT,1367,1064000,-58.52764033702452
54,1084000,-59.27055575971527,MAT,1367,1084000,-59.27055575971527
55,1104000,-60.575890118605024,MAT,1367,1104000,-60.575890118605024
56,1124000,-61.97165278509353,MAT,1367,1124000,-61.97165278509353
57,1144000,-62.89379258029718,MAT,1367,1144000,-62.89379258029718
58,1164000,-65.95662378601051,MAT,1367,1164000,-65.95662378601051
59,1184000,-66.16730730092624,MAT,1367,1184000,-66.16730730092624
60,1204000,-70.66823037792845,MAT,1367,1204000,-70.66823037792845
61,1224000,-67.1623475569052,MAT,1367,1224000,-67.1623475569052
62,1244000,-64.91481158579255,MAT,1367,1244000,-64.91481158579255
63,1264000,-66.28921602055574,MAT,1367,1264000,-66.28921602055574
64,1284000,-62.509726294773806,MAT,1367,1284000,-62.509726294773806
65,1304000,-65.18431645113057,MAT,1367,1304000,-65.18431645113057
66,1324000,-61.593404267563756,MAT,1367,1324000,-61.593404267563756
67,1344000,-61.73009179850798,MAT,1367,1344000,-61.73009179850798
68,1364000,-64.49258167694401,MAT,1367,1364000,-64.49258167694401
69,1384000,-63.63073218086471,MAT,1367,1384000,-63.63073218086471
70,1404000,-61.32445252986979,MAT,1367,1404000,-61.32445252986979
71,1424000,-60.61369370804217,MAT,1367,1424000,-60.61369370804217
72,1444000,-62.813103448327,MAT,1367,1444000,-62.813103448327
73,1464000,-60.123513369480136,MAT,1367,1464000,-60.123513369480136
74,1484000,-58.98352517258852,MAT,1367,1484000,-58.98352517258852
75,1504000,-61.328587221454676,MAT,1367,1504000,-61.328587221454676
76,1524000,-59.513157331582896,MAT,1367,1524000,-59.513157331582896
77,1544000,-58.10559661373556,MAT,1367,1544000,-58.10559661373556
78,1564000,-59.78988248774065,MAT,1367,1564000,-59.78988248774065
79,1584000,-60.037710749303336,MAT,1367,1584000,-60.037710749303336
80,1604000,-55.02385343241002,MAT,1367,1604000,-55.02385343241002
81,1624000,-52.311544646405636,MAT,1367,1624000,-52.311544646405636
82,1644000,-49.846019841998455,MAT,1367,1644000,-49.846019841998455
83,1664000,-47.8215008476982,MAT,1367,1664000,-47.8215008476982
84,1684000,-47.79584807111276,MAT,1367,1684000,-47.79584807111276
85,1704000,-46.092396011778746,MAT,1367,1704000,-46.092396011778746
86,1724000,-46.225393559879514,MAT,1367,1724000,-46.225393559879514
87,1744000,-49.84415977264218,MAT,1367,1744000,-49.84415977264218
88,1764000,-48.36918027604229,MAT,1367,1764000,-48.36918027604229
89,1784000,-50.52639379578118,MAT,1367,1784000,-50.52639379578118
90,1804000,-50.39566323303502,MAT,1367,1804000,-50.39566323303502
91,1824000,-48.6341314686347,MAT,1367,1824000,-48.6341314686347
92,1844000,-50.86152303409169,MAT,1367,1844000,-50.86152303409169
93,1864000,-52.70992770584458,MAT,1367,1864000,-52.70992770584458
94,1884000,-56.300746056144646,MAT,1367,1884000,-56.300746056144646
95,1904000,-59.165157281658495,MAT,1367,1904000,-59.165157281658495
96,1924000,-59.99512629045555,MAT,1367,1924000,-59.99512629045555
97,1944000,-64.62973828068388,MAT,1367,1944000,-64.62973828068388
98,1964000,-67.33431771586176,MAT,1367,1964000,-67.33431771586176
99,1984000,-65.36235957726913,MAT,1367,1984000,-65.36235957726913
