,_step,eval_average_episode_rewards,algorithm,seed,Environment steps,Reward
0,4000,-182.70261258590725,MAT,2254,4000,-182.70261258590725
1,24000,-187.64976186769198,MAT,2254,24000,-187.64976186769198
2,44000,-184.45242595606848,MAT,2254,44000,-184.45242595606848
3,64000,-171.86809504702592,MAT,2254,64000,-171.86809504702592
4,84000,-160.75290900637629,MAT,2254,84000,-160.75290900637629
5,104000,-153.28354698501764,MAT,2254,104000,-153.28354698501764
6,124000,-134.16096561506862,MAT,2254,124000,-134.16096561506862
7,144000,-132.84892560708295,MAT,2254,144000,-132.84892560708295
8,164000,-116.41757299953801,MAT,2254,164000,-116.41757299953801
9,184000,-105.69354021760975,MAT,2254,184000,-105.69354021760975
10,204000,-90.29447179309362,MAT,2254,204000,-90.29447179309362
11,224000,-79.95715519576571,MAT,2254,224000,-79.95715519576571
12,244000,-77.25189306883996,MAT,2254,244000,-77.25189306883996
13,264000,-76.23285673874588,MAT,2254,264000,-76.23285673874588
14,284000,-80.34716174935849,MAT,2254,284000,-80.34716174935849
15,304000,-82.6036030604731,MAT,2254,304000,-82.6036030604731
16,324000,-85.44253744050471,MAT,2254,324000,-85.44253744050471
17,344000,-90.4943407662845,MAT,2254,344000,-90.4943407662845
18,364000,-103.13243828530861,MAT,2254,364000,-103.13243828530861
19,384000,-98.94453910535913,MAT,2254,384000,-98.94453910535913
20,404000,-104.08275289364448,MAT,2254,404000,-104.08275289364448
21,424000,-109.18223984665883,MAT,2254,424000,-109.18223984665883
22,444000,-113.62100495245636,MAT,2254,444000,-113.62100495245636
23,464000,-108.56461588939503,MAT,2254,464000,-108.56461588939503
24,484000,-119.94521668535324,MAT,2254,484000,-119.94521668535324
25,504000,-131.175143239306,MAT,2254,504000,-131.175143239306
26,524000,-137.7738997759932,MAT,2254,524000,-137.7738997759932
27,544000,-142.67172544964575,MAT,2254,544000,-142.67172544964575
28,564000,-133.5323230511636,MAT,2254,564000,-133.5323230511636
29,584000,-136.07656604622133,MAT,2254,584000,-136.07656604622133
30,604000,-135.54635474994433,MAT,2254,604000,-135.54635474994433
31,624000,-129.80280276884554,MAT,2254,624000,-129.80280276884554
